Trainer Elo — 120 trainers, 14864 individual games, champion=random-a-myopic-tuned, search-budget=30, k=32.0, converged in 64 passes

  # Trainer                                       Gen        Elo  Games
-----------------------------------------------------------------------
  1 Sir Meowfred — Resident Cat Butler            Luz's Place  2697.8    239
  2 RuzLaposa — Nobody                            Special Trainers  2411.2    244
  3 Morimoto — Game Freak Developer               Special Trainers  2359.1    242
  4 Emmet — Subway Boss                           Special Trainers  2339.9    244
  5 Summer — Pokemon Ranger                       Special Trainers  2305.2    245
  6 Tucker — Dome Ace                             Special Trainers  2286.1    249
  7 Wolfey — World Champion                       Special Trainers  2272.6    250
  8 Iris — Unova Champion                         Gen 5   2224.6    249
  9 Greta — Arena Tycoon                          Special Trainers  2204.4    246
 10 Palmer — Tower Tycoon                         Special Trainers  2166.4    250
 11 Ingo — Subway Boss                            Special Trainers  2138.5    249
 12 Darach — Castle Valet                         Special Trainers  2130.0    250
 13 Shaun — Veteran                               Special Trainers  2101.6    252
 14 Spenser — Palace Maven                        Special Trainers  2085.1    252
 15 Dahlia — Arcade Star                          Special Trainers  2073.0    251
 16 Team Charm — Exploration Team                 Special Trainers  2059.8    250
 17 Hau — Alola Rival                             Gen 7   2054.7    247
 18 Barry — Sinnoh Rival                          Gen 4   2050.0    247
 19 Steven Stone — Hoenn Champion                 Gen 5   2036.0    254
 20 Shauntal — Unova Elite Four                   Gen 5   2034.9    258
 21 Prince N — Unova Trainer                      Gen 5   2025.5    251
 22 Kukui — Alola Champion                        Gen 7   2011.4    247
 23 Marshal — Unova Elite Four                    Gen 5   2002.0    254
 24 Thorton — Factory Head                        Special Trainers  2000.9    253
 25 Lucy — Pike Queen                             Special Trainers  1991.9    251
 26 Grimsley — Unova Elite Four                   Gen 5   1991.2    250
 27 Diantha — Kalos Champion                      Gen 6   1985.0    257
 28 Ghetsis — Unova Team Boss                     Gen 5   1984.7    254
 29 Cynthia — Sinnoh Champion                     Gen 4   1981.8    251
 30 Hugh — Unova Rival                            Gen 5   1976.6    255
 31 Kellyn — Top Ranger                           Special Trainers  1962.2    260
 32 Noland — Factory Head                         Special Trainers  1953.2    253
 33 Caitlin — Unova Elite Four                    Gen 5   1947.5    251
 34 Explorers — Wigglytuff Guild                  Special Trainers  1878.3    251
 35 Cyrus — Sinnoh Team Boss                      Gen 4   1873.7    251
 36 Lucian — Sinnoh Elite Four                    Gen 4   1864.5    246
 37 Wallace — Hoenn Champion                      Gen 3   1821.6    251
 38 Molayne — Alola Elite Four                    Gen 7   1807.5    256
 39 Aaron — Sinnoh Elite Four                     Gen 4   1802.7    254
 40 Guzma — Alola Team Boss                       Gen 7   1801.0    250
 41 Team Skull — Skull Grunts                     Special Trainers  1782.2    248
 42 Crasher Wake — Sinnoh Gym Leader              Gen 4   1772.7    248
 43 Red — Kanto Superboss                         Gen 2   1769.2    252
 44 Roark — Sinnoh Gym Leader                     Gen 4   1725.3    255
 45 Olivia — Alola Elite Four                     Gen 7   1707.2    249
 46 Acerola — Alola Elite Four                    Gen 7   1705.7    253
 47 Serena — Kalos Rival                          Gen 6   1686.2    248
 48 Drake — Hoenn Elite Four                      Gen 3   1677.8    257
 49 Kahili — Alola Elite Four                     Gen 7   1665.2    255
 50 Lysandre — Kalos Team Boss                    Gen 6   1646.1    251
 51 Candice — Sinnoh Gym Leader                   Gen 4   1644.6    247
 52 Volkner — Sinnoh Gym Leader                   Gen 4   1642.9    245
 53 Fantina — Sinnoh Gym Leader                   Gen 4   1638.2    252
 54 Maylene — Sinnoh Gym Leader                   Gen 4   1637.6    253
 55 Flint — Sinnoh Elite Four                     Gen 4   1630.2    243
 56 Bertha — Sinnoh Elite Four                    Gen 4   1618.0    248
 57 Siebold — Kalos Elite Four                    Gen 6   1609.4    255
 58 Malva — Kalos Elite Four                      Gen 6   1607.8    253
 59 Lusamine — Alola President                    Gen 7   1591.1    252
 60 Silver — Johto Rival                          Gen 2   1558.4    251
 61 Wikstrom — Kalos Elite Four                   Gen 6   1499.7    252
 62 Byron — Sinnoh Gym Leader                     Gen 4   1499.2    247
 63 Skyla — Unova Gym Leader                      Gen 5   1482.3    247
 64 Hapu — Alola Kahuna                           Gen 7   1455.6    249
 65 Glacia — Hoenn Elite Four                     Gen 3   1442.1    243
 66 Clemont — Kalos Gym Leader                    Gen 6   1428.6    250
 67 Will — Johto Elite Four                       Gen 2   1427.5    246
 68 Marlon — Unova Gym Leader                     Gen 5   1416.1    246
 69 Juan — Hoenn Gym Leader                       Gen 3   1386.7    245
 70 Blue — Kanto Rival                            Gen 1   1381.8    252
 71 Drasna — Kalos Elite Four                     Gen 6   1379.9    250
 72 Drayden — Unova Gym Leader                    Gen 5   1367.6    250
 73 Gardenia — Sinnoh Gym Leader                  Gen 4   1350.1    247
 74 Karen — Johto Elite Four                      Gen 2   1340.6    247
 75 Lance — Kanto Elite Four                      Gen 1   1338.9    253
 76 Clay — Unova Gym Leader                       Gen 5   1321.2    250
 77 Clair — Johto Gym Leader                      Gen 2   1305.8    252
 78 Wulfric — Kalos Gym Leader                    Gen 6   1299.9    246
 79 Phoebe — Hoenn Elite Four                     Gen 3   1298.6    246
 80 Nanu — Alola Kahuna                           Gen 7   1292.1    242
 81 Olympia — Kalos Gym Leader                    Gen 6   1267.7    245
 82 Lorelei — Kanto Elite Four                    Gen 1   1249.5    251
 83 Elesa — Unova Gym Leader                      Gen 5   1219.0    251
 84 Tate & Liza — Hoenn Gym Leaders               Gen 3   1179.0    242
 85 Bruno — Kanto Elite Four                      Gen 1   1173.1    246
 86 Winona — Hoenn Gym Leader                     Gen 3   1167.2    243
 87 Sidney — Hoenn Elite Four                     Gen 3   1164.4    246
 88 Agatha — Kanto Elite Four                     Gen 1   1156.5    244
 89 Norman — Hoenn Gym Leader                     Gen 3   1141.0    246
 90 Sabrina — Kanto Gym Leader                    Gen 1   1137.9    247
 91 Giovanni — Kanto Team Boss                    Gen 1   1115.6    239
 92 Valerie — Kalos Gym Leader                    Gen 6   1106.9    245
 93 Koga — Kanto Gym Leader                       Gen 1   1102.8    244
 94 Morty — Johto Gym Leader                      Gen 2   1089.0    242
 95 Wattson — Hoenn Gym Leader                    Gen 3   1087.3    245
 96 Maxie — Hoenn Team Boss                       Gen 3    983.4    246
 97 Blaine — Kanto Gym Leader                     Gen 1    981.7    246
 98 Ramos — Kalos Gym Leader                      Gen 6    933.5    240
 99 Flannery — Hoenn Gym Leader                   Gen 3    930.1    244
100 Jasmine — Johto Gym Leader                    Gen 2    919.2    243
101 Burgh — Unova Gym Leader                      Gen 5    917.3    245
102 Korrina — Kalos Gym Leader                    Gen 6    910.2    243
103 Lt. Surge — Kanto Gym Leader                  Gen 1    901.0    244
104 Archie — Hoenn Team Boss                      Gen 3    872.5    245
105 May — Hoenn Rival                             Gen 3    845.4    243
106 Pryce — Johto Gym Leader                      Gen 2    825.0    249
107 Misty — Kanto Gym Leader                      Gen 1    802.7    238
108 Erika — Kanto Gym Leader                      Gen 1    766.7    241
109 Cheren — Unova Gym Leader                     Gen 5    765.2    246
110 Chuck — Johto Gym Leader                      Gen 2    763.5    243
111 Brawly — Hoenn Gym Leader                     Gen 3    743.6    241
112 Roxanne — Hoenn Gym Leader                    Gen 3    725.5    240
113 Grant — Kalos Gym Leader                      Gen 6    707.4    242
114 Roxie — Unova Gym Leader                      Gen 5    705.6    244
115 Whitney — Johto Gym Leader                    Gen 2    670.5    245
116 Hala — Alola Kahuna                           Gen 7    637.7    240
117 Bugsy — Johto Gym Leader                      Gen 2    482.1    239
118 Falkner — Johto Gym Leader                    Gen 2    438.0    239
119 Brock — Kanto Gym Leader                      Gen 1    322.0    239
120 Viola — Kalos Gym Leader                      Gen 6    287.9    238
